patch_name,edits_count,full_timings_ms,incremental_timings_ms,same,full_nodes,full_edges,incremental_nodes,incremental_edges,lines_changed
075_add-comment_fn-'msm_substr_from_str_arr'.patch,1,155,127,0,4541,9981,4341,9557,2
076_delete-stmt_fn-'msm_diff_generic'-delete-from-b3899.patch,1,153,46,1,4536,9972,4536,9972,3
077_insert-decl_fn-'msm_diff_chars'-insert-at-161605.patch,1,154,12,0,4543,9987,4543,9985,3
078_rename-local_fn-'msm_free_diff_result'-rename-'i'-to-'new_i_592873'.patch,6,152,789,0,4543,9986,4556,8348,4
079_modify-num-lit_23609-to-23614.patch,1,157,12,1,4543,9986,4543,9986,1
080_add-comment_fn-'compare_char_seq'.patch,1,154,127,0,4544,9988,4319,9467,2
081_delete-stmt_fn-'msm_create_diff_result'-delete-from-b704.patch,1,154,16,0,4531,9962,4531,9964,5
082_insert-decl_fn-'msm_diff_chars'-insert-at-38528.patch,1,153,12,0,4538,9977,4538,9975,2
083_rename-local_fn-'msm_proc_raw_diffs'-rename-'b_idx'-to-'new_b_idx_825392'.patch,26,155,1036,0,4538,9977,4603,8879,26
084_modify-num-lit_161605-to-161604.patch,1,155,11,1,4538,9977,4538,9977,1
085_add-comment_fn-'compare_char_seq'.patch,1,154,128,0,4539,9979,4314,9458,2
086_delete-stmt_fn-'msm_create_diff_result'-delete-from-b821.patch,1,156,17,0,4530,9956,4530,9956,3
087_insert-decl_fn-'compare_char_seq'-insert-at-76087.patch,1,154,26,0,4537,9971,4537,9965,3
088_rename-local_fn-'msm_free_lines'-rename-'i'-to-'new_i_846504'.patch,5,155,21,0,4537,9970,4452,9785,3
089_modify-num-lit_2-to-5.patch,1,154,45,1,4537,9970,4537,9970,1
090_add-comment_fn-'msm_substr_from_str'.patch,1,153,126,0,4538,9972,4402,9677,2
091_delete-stmt_fn-'msm_proc_raw_diffs'-delete-from-b18211.patch,1,155,49,0,4532,9958,4532,9960,3
092_insert-decl_fn-'test_msm'-insert-at-54294.patch,1,157,54,0,4539,9973,4540,9974,2
093_rename-local_fn-'test_msm'-rename-'i'-to-'new_i_604914'.patch,12,154,45,0,4539,9972,4539,9971,8
094_modify-num-lit_0-to-1.patch,1,153,17,1,4539,9972,4539,9972,1
095_add-comment_fn-'msm_diff_generic'.patch,1,153,136,0,4540,9974,3527,7599,2
096_delete-stmt_fn-'msm_proc_raw_diffs'-delete-from-b20893.patch,1,154,70,0,4530,9952,4530,9953,4
097_insert-decl_fn-'msm_add_dff_segment'-insert-at-708352.patch,1,153,13,0,4537,9967,4537,9966,2
098_rename-local_fn-'compare_char_seq'-rename-'prev_a'-to-'new_prev_a_427532'.patch,2,153,46,0,4537,9967,4537,9962,2
099_modify-num-lit_1-to-3.patch,1,154,18,1,4537,9967,4537,9967,1
