patch_name,edits_count,full_timings_ms,incremental_timings_ms,same,full_nodes,full_edges,incremental_nodes,incremental_edges,lines_changed,file_size_bytes,commit_hash,file_path
132b86dc_plugin_quartz__gvplugin_quartz.c,0,11,0,2,460,827,0,0,0,2492,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/quartz//gvplugin_quartz.c
132b86dc_tclpkg_tcldot__tcldot.c,0,77,0,2,1885,4005,0,0,0,7090,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/tcldot//tcldot.c
132b86dc_cmd_smyrna__gltemplate.c,0,125,0,2,2864,6190,0,0,0,12519,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/smyrna//gltemplate.c
132b86dc_lib_gvc__gvrender.c,0,238,0,2,6239,13864,0,0,0,18801,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/gvc//gvrender.c
132b86dc_tclpkg_tclpathplan__find_ints.c,0,33,0,2,1034,2104,0,0,0,3313,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/tclpathplan//find_ints.c
132b86dc_lib_gvc__gvtextlayout.c,0,6,0,2,193,391,0,0,0,1306,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/gvc//gvtextlayout.c
132b86dc_lib_gvc__gvtool_tred.c,0,17,0,2,520,1057,0,0,0,2078,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/gvc//gvtool_tred.c
132b86dc_lib_neatogen__constraint.c,0,318,0,2,7830,17245,0,0,0,21645,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,lib/neatogen//constraint.c
132b86dc_cmd_smyrna__glutrender.c,0,74,0,2,1748,3703,0,0,0,6848,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,cmd/smyrna//glutrender.c
132b86dc_tclpkg_tclpathplan__intersect.c,0,81,0,2,1832,4244,0,0,0,4891,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/tclpathplan//intersect.c
132b86dc_tclpkg_tclpathplan__makecw.c,0,7,0,2,227,504,0,0,0,1362,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,tclpkg/tclpathplan//makecw.c
132b86dc_plugin_quartz__gvrender_quartz.c,0,163,0,2,3565,7455,0,0,0,15241,132b86dc536e6ed4f6f3b2bc3ff71ec2cf0c14a1,plugin/quartz//gvrender_quartz.c
